Sched,Run,Distance,Flow1_Throughput,Flow2_Throughput
MR,1,100,24.205749,0
MR,1,200,24.205749,0
MR,1,300,24.205749,0
MR,1,400,24.205749,0
MR,1,500,24.205749,0
MR,1,600,24.205749,0
MR,1,700,24.205749,0
MR,1,800,24.205749,0
MR,1,900,24.205749,0
MR,1,1000,24.205749,0
MR,1,1100,24.199112,0
MR,1,1200,24.187498,0
MR,1,1300,24.182521,0
MR,1,1400,24.182521,0
MR,1,1500,24.182521,0
MR,1,1600,24.182521,0
MR,1,1700,24.182521,0
MR,1,1800,24.182521,0
MR,1,1900,24.182521,0
MR,1,2000,24.182521,0
MR,2,100,24.205749,0
MR,2,200,24.205749,0
MR,2,300,24.205749,0
MR,2,400,24.205749,0
MR,2,500,24.205749,0
MR,2,600,24.205749,0
MR,2,700,24.205749,0
MR,2,800,24.205749,0
MR,2,900,24.205749,0
MR,2,1000,24.205749,0
MR,2,1100,24.200772,0
MR,2,1200,24.182521,0
MR,2,1300,24.182521,0
MR,2,1400,24.182521,0
MR,2,1500,24.182521,0
MR,2,1600,24.182521,0
MR,2,1700,24.182521,0
MR,2,1800,24.182521,0
MR,2,1900,24.182521,0
MR,2,2000,24.182521,0
MR,3,100,0,24.205749
MR,3,200,0,22.875088
MR,3,300,0,20.172287
MR,3,400,0,17.179130
MR,3,500,15.196412,0
MR,3,600,15.196412,0
MR,3,700,15.196412,0
MR,3,800,15.196412,0
MR,3,900,15.196412,0
MR,3,1000,15.196412,0
MR,3,1100,15.196412,0
MR,3,1200,15.196412,0
MR,3,1300,15.196412,0
MR,3,1400,15.196412,0
MR,3,1500,15.196412,0
MR,3,1600,15.196412,0
MR,3,1700,15.193094,0
MR,3,1800,15.189775,0
MR,3,1900,15.184798,0
MR,3,2000,15.181479,0
PF,1,100,12.553341,11.592677
PF,1,200,12.598139,7.534328
PF,1,300,12.647915,5.105291
PF,1,400,12.304465,3.105981
PF,1,500,12.880199,1.886485
PF,1,600,13.074323,1.070170
PF,1,700,14.048261,0.360042
PF,1,800,14.048261,0.360042
PF,1,900,14.048261,0.360042
PF,1,1000,15.130045,0.180850
PF,1,1100,9.556866,0
PF,1,1200,7.964055,0
PF,1,1300,3.575529,0
PF,1,1400,3.278536,0
PF,1,1500,3.278536,0
PF,1,1600,3.278536,0
PF,1,1700,3.278536,0
PF,1,1800,3.290150,0
PF,1,1900,3.290150,0
PF,1,2000,3.290150,0
PF,2,100,12.553341,11.592677
PF,2,200,12.598139,7.534328
PF,2,300,12.647915,5.105291
PF,2,400,12.319397,3.840997
PF,2,500,12.750784,2.535224
PF,2,600,12.858630,1.884826
PF,2,700,13.074323,1.070170
PF,2,800,14.048261,0.360042
PF,2,900,14.048261,0.360042
PF,2,1000,15.214663,0.182510
PF,2,1100,5.971382,0
PF,2,1200,3.296787,0
PF,2,1300,3.290150,0
PF,2,1400,3.290150,0
PF,2,1500,3.290150,0
PF,2,1600,3.290150,0
PF,2,1700,3.290150,0
PF,2,1800,3.290150,0
PF,2,1900,3.290150,0
PF,2,2000,3.290150,0
PF,3,100,7.534328,12.599798
PF,3,200,7.539305,11.639134
PF,3,300,7.534328,10.424616
PF,3,400,7.534328,8.591224
PF,3,500,7.565852,6.545458
PF,3,600,7.608991,3.958799
PF,3,700,7.628901,3.421225
PF,3,800,7.657107,2.556793
PF,3,900,7.735088,1.894781
PF,3,1000,7.852890,1.080125
PF,3,1100,7.852890,1.080125
PF,3,1200,8.443557,0.363360
PF,3,1300,8.443557,0.363360
PF,3,1400,8.443557,0.363360
PF,3,1500,9.152026,0.182510
PF,3,1600,8.921401,0.179191
PF,3,1700,5.513449,0
PF,3,1800,4.461530,0
PF,3,1900,3.049569,0
PF,3,2000,1.826755,0
Qos,1,100,7.159353,16.548642
Qos,1,200,7.199174,10.797931
Qos,1,300,7.243972,7.874459
Qos,1,400,7.285451,5.296096
Qos,1,500,7.449710,2.983202
Qos,1,600,7.627242,1.592811
Qos,1,700,8.556381,0.565780
Qos,1,800,8.556381,0.565780
Qos,1,900,8.556381,0.565780
Qos,1,1000,9.797447,0.310266
Qos,1,1100,3.530731,0.117802
Qos,1,1200,2.059040,0
Qos,1,1300,1.952853,0
Qos,1,1400,1.952853,0
Qos,1,1500,1.952853,0
Qos,1,1600,1.952853,0
Qos,1,1700,1.952853,0
Qos,1,1800,1.952853,0
Qos,1,1900,1.952853,0
Qos,1,2000,1.952853,0
Qos,2,100,7.159353,16.548642
Qos,2,200,7.199174,10.797931
Qos,2,300,7.245631,7.876118
Qos,2,400,7.258904,6.568686
Qos,2,500,7.338545,3.910683
Qos,2,600,7.398275,2.966610
Qos,2,700,7.627242,1.592811
Qos,2,800,8.554722,0.565780
Qos,2,900,8.554722,0.565780
Qos,2,1000,9.810720,0.311925
Qos,2,1100,2.901902,0
Qos,2,1200,1.952853,0
Qos,2,1300,1.952853,0
Qos,2,1400,1.952853,0
Qos,2,1500,1.952853,0
Qos,2,1600,1.952853,0
Qos,2,1700,1.952853,0
Qos,2,1800,1.952853,0
Qos,2,1900,1.952853,0
Qos,2,2000,1.952853,0
Qos,3,100,3.690012,17.912487
Qos,3,200,3.694990,16.586803
Qos,3,300,3.691671,14.871213
Qos,3,400,3.698308,12.281236
Qos,3,500,3.716559,9.366060
Qos,3,600,3.748083,6.588596
Qos,3,700,3.767993,5.316007
Qos,3,800,3.789563,3.917319
Qos,3,900,3.844316,2.989839
Qos,3,1000,3.938889,1.597788
Qos,3,1100,3.938889,1.597788
Qos,3,1200,4.771796,0.567439
Qos,3,1300,4.771796,0.567439
Qos,3,1400,4.771796,0.567439
Qos,3,1500,5.476947,0.311925
Qos,3,1600,5.468651,0.311925
Qos,3,1700,2.747599,0
Qos,3,1800,1.368822,0
Qos,3,1900,1.171380,0
Qos,3,2000,1.171380,0
RR,1,100,12.521817,11.622542
RR,1,200,12.521817,7.580785
RR,1,300,12.521817,5.156725
RR,1,400,12.301146,3.406293
RR,1,500,12.521817,1.942898
RR,1,600,12.521817,1.131559
RR,1,700,12.521817,0.419772
RR,1,800,12.521817,0.419772
RR,1,900,12.521817,0.419772
RR,1,1000,12.410652,0.245558
RR,1,1100,6.654963,0.197442
RR,1,1200,3.738128,0.023228
RR,1,1300,2.523610,0
RR,1,1400,2.546838,0
RR,1,1500,2.546838,0
RR,1,1600,2.546838,0
RR,1,1700,2.546838,0
RR,1,1800,2.546838,0
RR,1,1900,2.546838,0
RR,1,2000,2.546838,0
RR,2,100,12.521817,11.622542
RR,2,200,12.521817,7.580785
RR,2,300,12.521817,5.156725
RR,2,400,12.196618,3.874181
RR,2,500,12.520158,2.633116
RR,2,600,12.508544,1.941238
RR,2,700,12.521817,1.131559
RR,2,800,12.521817,0.419772
RR,2,900,12.521817,0.419772
RR,2,1000,12.521817,0.247218
RR,2,1100,5.656138,0
RR,2,1200,2.563430,0
RR,2,1300,2.546838,0
RR,2,1400,2.546838,0
RR,2,1500,2.546838,0
RR,2,1600,2.546838,0
RR,2,1700,2.546838,0
RR,2,1800,2.546838,0
RR,2,1900,2.546838,0
RR,2,2000,2.546838,0
RR,3,100,7.549260,12.573252
RR,3,200,7.549260,11.622542
RR,3,300,7.549260,10.401387
RR,3,400,6.689806,7.693609
RR,3,500,7.549260,6.558731
RR,3,600,7.549260,3.991982
RR,3,700,7.549260,3.457727
RR,3,800,7.549260,2.633116
RR,3,900,7.549260,1.942898
RR,3,1000,7.549260,1.131559
RR,3,1100,7.549260,1.131559
RR,3,1200,7.549260,0.419772
RR,3,1300,7.549260,0.419772
RR,3,1400,7.549260,0.419772
RR,3,1500,7.549260,0.247218
RR,3,1600,6.575323,0.238922
RR,3,1700,3.396338,0.200761
RR,3,1800,2.331145,0.094573
RR,3,1900,1.670792,0
RR,3,2000,1.493260,0
